,positive,neutral,negative
0,"All the best, gladly again.",They're uncomfortable.,It's just plastic
1,Thanks.,"Ordinary cheap slates. With a small chemical smell. For 700 rubles, would not buy. These are on the market for three, four hundred you can buy. I did not communicate with the seller. Delivery two weeks.","Rosemir zamovlyav 8 - 41. Priishov 45.
Come on, let's get some little zanato."
2,Come quickly. Corresponds to the description. Ordered 41 on my 40. Came 42. But the size approached. Slightly loose.,To see in the duration if these slippers are of quality ....,"Sent a different color, but the seller did not agree with the claim."
3,"Good cute sneaker! I wear 42, these 43 are written, malomerki!",Could be best quality,Parcel not received
4,"Excellent sneakers, light, size 27,5 took 45-came up perfectly. I'm happy with the purchase, I recommend the seller",",",Some of the stickers don’t look like the characters at all
5,"EU european size 44 I Order 11 and they are Perfect, thank you Saler. Excellent quality same as in photos, fast delivery....all TOP",.,The stickers did not look like they described
6,Good quality. Fits perfect for Dutch size 44.,I don't arrived the parcel.. But I received the refund. Thank you,cheap quality 
7,Sneakers are very cool.,Not necessarily fan but nice,"Terrible quality! fuzzy colors and drawings, like a blemish paint"
8,Shipping very fast!,<2en> thank you for everything. I didn't get the cargo delivered because of the cargo of my country. they immediately returned the fee. thank you very much. the seller is very concerned,"Because these things are supposed to be stickers ""Friends""?!!! Scam. In addition there are not even 50 but 39 !! Nothing matches"
9,Quality is excellent,Its too long for The arm,Poor quality. Pictures not as bright as description. 
10,As described,Good,"I don't know, it didn't come."
11,comfort and fits perfectly,"People put different applications lit backlight camera does not work tried different equipment options shorter full sucks yes and the seller does not answer the deer itself button all in glue
Look for others. Good luck",Shipment dotarła but tight after time.
12,Malbe on the 41 Rossiyian checker,"The product arrived and in the kit there was no Micro USB Type-C adapter, although I ordered it with it.","Shipment dotarła, but tight after time."
13,Lost with the size. At 43 my leg is a little narrow they. Others can be norms. On the quality of the goods there is nothing to say yet,I regretted what I took. The phone is invisible. On the computer after once turns on. Quality Picture sucks,I never get there
14,Corresponds to the dimensional grid. Quality is good.,The quality of video is bare. Programs with advertising.,got nothing reimbursed through Aliexpress
15,"Slippers of good quality, but mixed size, wanted 41, sent 43(((","Endoscope does the job. Excellent image quality. No explanation in French and applications of origin in Chinese. Install OTG view, it works very well",‍♂️
16,"I ordered my husband for size 45-46, the size is the largest that was 11, but small, despite the fact that they are written 45",From the set of devices made friends only with a laptop. Image quality below average. Delivered oochen quickly.,"Poor customer service parcel was sent to someone else and no refund was given to me for receiving the wrong order. Need to have people not robots
 to handle certain issues."
17,"Slightly rigid, the size matches",Weak very image and so not bad,"The camera does not work on all Android OTG devices correctly. On Honor 8 everything is chic, 7a some stripes instead of the image (((I'm upset with the purchase. And so the quality of manufacturing and shooting is good (tried an98 applications (the only application with which at least something is obtained) and others)."
18,"It looks good quality, lightweight we will test the duration.",....,"It came quickly, but could not adjust, lying on the shelf"
19,"Normal sneakers. The color is lighter than in the picture.
Minus-they are too warm.",ok,"It came quickly, the goods after connection does not work"
20,"Good sneakers, comfortable. You can take.",Quality is not very good pictures. For me did not fit. And the installation on the Taip C is also difficult. The adapter is not included. The old phone caught up.,I made the purchase in February and so far have not received any order
21,"I get it all right, let's try the durability",Zippers came as they wanted. I ordered 3 lots thinking they 'd be the same but it's not the way it is.,"Image quality on a smartphone full of shit! corresponds to about 0.3 or 0.5 megapixels. In short almost impossible to use. If you have a android 10, the application that is offered for download at qr code does not work. I found something in pleymarkete desired application, in the end, all as described above. Downloaded to another smartphone with android 9 images on the screen turned out even worse. In general I do not advise."
22,Came within one week. Recommended,Never got the item. Ordered in September. Got a refund in December.,The endoscope is bad. The picture is bad. I do not advise you to take it. Shipping long.
23,Slippers quality on my 42-43 rastoptanny ichniy Chinese 45 most times,boof,"The harbor is complete, do not buy, only the smallest resolution works on the phone, in the rest of the resolutions of the Strip and the green screen, the phone with Android 10 10 10 10 Along with the Chinese from the manufacturer of the endoscope, nephuryshite, on the computer furychit, Windows 10, but the computer can not carry the phone, but, Is acceptable"
24,Super fast delivery. I recommend. Fits as poured. Thank you.,I ordered them mostly from the Red Zipper and I didn't get that color. Otherwise they're fine.,They don't send the products. Don't buy here.
25,"It was 2 weeks since the order, took on a larger size, approached.","They came Royal Blue and Not Purple, however I could use them, but didn't need 10 of this colour. Wasn't worth trying to get correct colour, I will leave them in my stash. They are good Zips, just wrong colour came in order. And the seller deserves their money for them.","Never received
:-("
26,Very good item. Very comfy... Size M is like European M.,Order not received. But fast refund by the seller,Quality shit
27,Satisfied with this product. Sturdy slippers. Shipped very quickly.,"May be a mistake on my part, but the length is short",doesn't work
28,I ordered 45 for 43 a little uneasy. Quality is good,Closures are 18 cm and not 20cm,Bullshit
29,Great seller. Fast delivery. Goods match the description. Thank you.,Very small size barely 15 cm,Not received and not repaid.
30,"I bought myself like slippers for a bath. The tests were successful. Do not slip, do not fall off your feet. And most importantly: a high rise just on my leg!",There were only 9 pieces and not 10,ok
31,"The product corresponds to the description. Completely whole, without glue and shvof, that's what I wanted.",A little disappointed with the size.,"Per mistaken reported, that the product received is. This is not the
Case. Please your attention for this; In advance my thank."
32,Exactly as described. Size 45 is suited to my size 44. Fast shipment. Recommended.,Thought were stronger,I ordered purple and got blue
33,"Sneakers are good, fit in size, moderately soft and sit comfortably on the leg, do not rub! The seller and I recommend it.",The package has arrived the closures are impeccable but a pity it is not the right dimensions too bad I do with,They're not invisible zippers.
34,"Sneakers are soft, good. I like everything.","Good But Ordered 10pcs Received 8.
Good product but ordered 10 pieces received 8 ...",They're not invisible zippers.
35,I like it! I bought this as a gift. She likes the seller's caring and makes me feel very warm.,"The goods came, but all beaten, I was still surprised how it works after such","I have not received my order yet. you kept it in china for over a month and no record for last month. If you really need to cheat me , disabled and of fixed income then , I hope you sleep well. because I can contact fraud division of my bank. this experience is totally ridiculous, and uncalled for."
36,it's very comfortable. Good quality.,"The goods came, but the whole broken, I was still surprised how it works after this-something",Empty handed. Somthing went wrong.  After 1 day it stated that the package was delivered. I asked via messages... But no response AT ALL
37,"Comfortable to wear, good quality and low price, worth buying ","Came in 3 months, small damage on the case",Spotted receipt. Really disappointed
38,"They are excellent, I rest both my feet and my column, they are very relaxed to be home","The bank has been traveling for a very long time, but there is no fault of the seller. When connecting devices to charge, the urinal is distributed. I worry about both the plug-in devices and the paverbank itself","Nothing recived,order and payment is on 02.01.2021.I wait 3 month nothing"
39,"Excellent slaps, soft. The only thing-live gray color is lighter than in the photo",The box came completely dented and broken,"Communication with seller is good. but, unfortunately my order never arrived. "
40,The order was placed on Sun 25 Apr 2021.  The item was received on Thu 6 May 2021 in good conditions. The delivery took 10 working days excluding Sunday.  The Men's Slipper overall presentation looked very well made and of very good quality.  Keep Up the good work!  Thank you!,The order was 2 months. Came in perfect condition. Worker. As long as everything is OK,"The order did not arrive, it was returned to the seller without refund"
41,7.5 us is 41 in eu but it's really 40 in eu,"Very long went, and did not receive the goods, but the seller returned the full cost",Had 1 color ordered and got just like my other order different colors
